name_key,display_name,state,latitude,longitude,population
ABRN MYN,Auburn,ME,44.09785,-70.23117,22871
ABRN NYW YARK,Auburn,NY,42.93173,-76.56605,26985
ABSAROKEE,Absarokee,MT,45.52050,-109.44294,1150
ABSECOM,Absecon,NJ,39.42845,-74.49571,8317
ABSECOM VILLAGE,Absecon,NJ,39.42845,-74.49571,8317
ABSECOMBE,Absecon,NJ,39.42845,-74.49571,8317
ABSECON,Absecon,NJ,39.42845,-74.49571,8317
ABSECON BEACH,Atlantic City,NJ,39.36415,-74.42306,39260
ABSECUM,Absecon,NJ,39.42845,-74.49571,8317
ABSECUM BEACH,Atlantic City,NJ,39.36415,-74.42306,39260
ABSEHKON,Absecon,NJ,39.42845,-74.49571,8317
ABSEON BEACH,Atlantic City,NJ,39.36415,-74.42306,39260
ABSIKON,Absecon,NJ,39.42845,-74.49571,8317
ABSJURI PARK,Asbury Park,NJ,40.22039,-74.01208,15818
ABSKWN NYWJRSY,Absecon,NJ,39.42845,-74.49571,8317
ABULIJN,Abilene,TX,32.44874,-99.73314,125182
ABURDIJN,Aberdeen,SD,45.46470,-98.48648,28102
ABURDIJN,Aberdeen,WA,46.97537,-123.81572,16276
ABWBKA,Apopka,FL,28.67617,-81.51186,48382
ABWRN NYWYWRK,Auburn,NY,42.93173,-76.56605,26985
ABY,Albany,GA,31.57851,-84.15574,74843
ABYLYN,Abilene,KS,38.91722,-97.21391,6558
ABYLYN,Abilene,TX,32.44874,-99.73314,125182
ABYLYN KANZAS,Abilene,KS,38.91722,-97.21391,6558
ABYLYN KNSAS,Abilene,KS,38.91722,-97.21391,6558
ABYLYN TGZAS,Abilene,TX,32.44874,-99.73314,125182
ABYNGDAM WYRJYNYA,Abingdon,VA,36.70983,-81.97735,8119
ABYNGHDWN,Abingdon,VA,36.70983,-81.97735,8119
ABYNGHTWN,Abington,MA,42.10482,-70.94532,15985
ABYNGTN MASACHWST,Abington,MA,42.10482,-70.94532,15985
ABYRDYN,Aberdeen,WA,46.97537,-123.81572,16276
ABYWYL KARWLYNAY JNWBY,Abbeville,SC,34.17817,-82.37901,5191
ABYWYL LWYYZYANA,Abbeville,LA,29.97465,-92.13429,12434
ACADEMY GARDEN,Academy Garden,PA,40.06178,-74.99628,5437
ACALANES RIDGE,Acalanes Ridge,CA,37.90472,-122.07857,1137
ACAMPO,Acampo,CA,38.17464,-121.27856,341
ACATAPAT,Fountain Valley,CA,33.70918,-117.95367,56987
ACCIDENT,Accident,MD,39.62870,-79.31976,316
ACCOKEEK,Accokeek,MD,38.66762,-77.02831,10573
ACCOMAC,Accomac,VA,37.71957,-75.66548,496
ACCOMACK,Plymouth,MA,41.95844,-70.66726,7494
ACCORD,Accord,NY,41.78565,-74.22904,562
ACCOTINK STATION,Newington,VA,38.73845,-77.18498,12943
ACCOVILLE,Accoville,WV,37.76872,-81.83706,574
ACHILLE,Achille,OK,33.83343,-96.38721,510
ACHISON,Atchison,KS,39.56305,-95.12164,10712
ACHSN KANZAS,Atchison,KS,39.56305,-95.12164,10712
ACHUSHENA,New Bedford,MA,41.63526,-70.92701,101079
ACHUSHNET,Acushnet,MA,41.68066,-70.90782,10850
ACHUSHNET VILLAGE,Acushnet,MA,41.68066,-70.90782,10850
ACK,Nantucket,MA,41.28346,-70.09946,7446
ACKERLY,Ackerly,TX,32.52650,-101.71597,231
ACKERMAN,Ackerman,MS,33.31012,-89.17284,1482
ACKERMANVILLE,Ackermanville,PA,40.83926,-75.21935,610
ACKLEY,Ackley,IA,42.55415,-93.05326,1560
ACKWORTH,Acworth,GA,34.06635,-84.67837,22131
ACME,Acme,PA,40.12674,-79.42865,3833
ACME,Acme,WA,48.71706,-122.20516,246
ACOMITA LAKE,Acomita Lake,NM,35.07032,-107.61366,416
ACQUACKANONK,Passaic,NJ,40.85677,-74.12848,71085
ACQUACKANONK BRIDGE,Passaic,NJ,40.85677,-74.12848,71085
ACQUACKANONK LANDING,Passaic,NJ,40.85677,-74.12848,71085
ACRES GREEN,Acres Green,CO,39.55666,-104.89609,3007
ACROPOLIS,Little Rock,AR,34.74648,-92.28959,202591
ACT,Waco,TX,31.54933,-97.14667,132356
ACTON,Acton,CA,34.46999,-118.19674,7596
ACTON,Acton,MA,42.48509,-71.43284,20897
ACTON,Acton,ME,43.53425,-70.90978,2230
