city_key,state,latitude,longitude,source
BIG SPRINGS,NE,41.06138,-102.07435,geonames
BIG TIMBER,MT,45.83494,-109.95546,geonames
BILLINGS,MT,45.78329,-108.50069,geonames
BILLINGS,OK,36.52892,-97.44394,geonames
BILOXI,MS,30.39603,-88.88531,geonames
BINGHAMTON,NY,42.09869,-75.91797,geonames
BIRMINGHAM,AL,33.52066,-86.80249,geonames
BISHOPVILLE,SC,34.21821,-80.24841,geonames
BISMARCK,ND,46.80833,-100.78374,geonames
BLACK EARTH,WI,43.13722,-89.74679,geonames
BLACK RIVER FALLS,WI,44.29468,-90.85153,geonames
BLACK ROCK,AR,36.10840,-91.09735,geonames
BLACKFOOT,ID,43.19047,-112.34498,geonames
BLACKSBURG,SC,35.12124,-81.51592,geonames
BLACKSHEAR,GA,31.30605,-82.24207,geonames
BLACKWELL,OK,36.80448,-97.28282,geonames
BLADENBORO,NC,34.53878,-78.78752,geonames
BLADENSBURG,MD,38.93928,-76.93386,geonames
BLAINE,WA,48.99372,-122.74712,geonames
BLAIR,WI,44.29440,-91.23516,geonames
BLAIRS,VA,36.67986,-79.37308,geonames
BLAIRSVILLE,PA,40.43118,-79.26087,geonames
BLAKESLEE,PA,41.09259,-75.59269,geonames
BLANCO,TX,30.09799,-98.42141,geonames
BLAND,VA,37.10206,-81.11620,geonames
BLANDFORD,MA,42.18065,-72.92732,geonames
BLISS,ID,42.92685,-114.94951,geonames
BLOOMER,WI,45.10024,-91.48877,geonames
BLOOMFIELD,IN,39.02699,-86.93751,geonames
BLOOMINGDALE,GA,32.13242,-81.29900,geonames
BLOOMINGDALE,IL,41.95753,-88.08090,geonames
BLOOMINGTON,IL,40.48420,-88.99369,geonames
BLOOMINGTON,IN,39.16533,-86.52639,geonames
BLOOMSBURG,PA,41.00370,-76.45495,geonames
BLOOMSBURY,NJ,40.65399,-75.08656,geonames
BLOOMSDALE,MO,38.00950,-90.21790,geonames
BLOSSBURG,PA,41.67952,-77.06386,geonames
BLOUNTSTOWN,FL,30.44379,-85.04744,geonames
BLUE EARTH,MN,43.63746,-94.10218,geonames
BLUFFTON,IN,40.73866,-85.17164,geonames
BLUNT,SD,44.51220,-99.99207,geonames
BLYTHE,GA,33.29264,-82.20151,geonames
BLYTHEVILLE,AR,35.92730,-89.91898,geonames
BLYTHEWOOD,SC,34.21432,-80.97398,geonames
BOARDMAN,OR,45.83986,-119.70058,geonames
BOAZ,AL,34.20065,-86.16637,geonames
BOGATA,TX,33.47067,-95.21384,geonames
BOIS D ARC,MO,37.25644,-93.50770,geonames-fuzzy
BOISE,ID,43.61350,-116.20345,geonames
BOISE CITY,OK,36.72947,-102.51324,geonames
BOLES,AR,34.77955,-94.04910,geonames
BOLINGBROOK,IL,41.69864,-88.06840,geonames
BOLIVAR,MO,37.61448,-93.41047,geonames
BONDUEL,WI,44.74027,-88.44482,geonames
BONDURANT,IA,41.70054,-93.46216,geonames
BONITA SPRINGS,FL,26.33981,-81.77870,geonames
BONNERS FERRY,ID,48.69133,-116.31631,geonames
BOONVILLE,MO,38.97364,-92.74324,geonames
BORDENTOWN,NJ,40.14622,-74.71183,geonames
BORGER,TX,35.66782,-101.39739,geonames
BOSCOBEL,WI,43.13443,-90.70540,geonames
BOSSIER CITY,LA,32.51599,-93.73212,geonames
BOULDER,MT,46.23659,-112.12083,geonames
BOUND BROOK,NJ,40.56844,-74.53849,geonames
BOURBON,IN,41.29560,-86.11639,geonames
BOURBONNAIS,IL,41.15376,-87.88754,geonames
BOW,NH,43.13203,-71.54924,geonames
BOWIE,AZ,32.32647,-109.48701,geonames
BOWIE,TX,33.55900,-97.84865,geonames
BOWLING GREEN,KY,36.99032,-86.44360,geonames
BOWLING GREEN,MO,39.34199,-91.19514,geonames
BOWMAN,ND,46.18306,-103.39491,geonames
BOWMAN,SC,33.34877,-80.68287,geonames
BOWMANSVILLE,PA,40.19676,-76.01744,geonames
BOX ELDER,SD,44.11249,-103.06823,geonames
BOYCE,LA,31.39046,-92.66931,geonames
BOYLSTON,MA,42.39176,-71.70368,geonames
BOYNTON BEACH,FL,26.52535,-80.06643,geonames
BRACEY,VA,36.59959,-78.14305,geonames
BRADENTON,FL,27.49893,-82.57482,geonames
BRADNER,OH,41.32422,-83.43854,geonames
BRADY,TX,31.13517,-99.33506,geonames
BRAINERD,MN,46.35802,-94.20083,geonames
BRAMAN,OK,36.92364,-97.33366,geonames
BRANCHVILLE,SC,33.25127,-80.81565,geonames
BRANDON,SD,43.59470,-96.57199,geonames
BRANDYWINE,MD,38.69678,-76.84775,geonames
BRANFORD,CT,41.27954,-72.81510,geonames
BRANFORD,FL,29.95912,-82.92818,geonames
BRASELTON,GA,34.10927,-83.76267,geonames
BRATTLEBORO,VT,42.85092,-72.55787,geonames
